task_file,workload,num_gpus,estimator,yaml_field,peak_memory_mib,estimate_mib,error_mib,abs_error_mib,estimate_to_peak_ratio,underestimates,severe_underestimates,overestimates,severe_overestimates,extreme_overestimates
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs64_1gpu.yaml,mobilenet_imagenet_bs64_1gpu.yaml,1,HorusMem,horus_mib,6162.0,6420.7646,258.7646000000004,258.7646000000004,1.0419936059720871,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs64_1gpu.yaml,mobilenet_imagenet_bs64_1gpu.yaml,1,FakeTensorMem,faketensor_mib,6162.0,4845.542152,-1316.457848,1316.457848,0.7863586744563453,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs64_1gpu.yaml,mobilenet_imagenet_bs64_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,6162.0,16000.0,9838.0,9838.0,2.596559558584875,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_20e_1gpu.yaml,resnet18_cifar100_bs128_20e_1gpu.yaml,1,HorusMem,horus_mib,852.0,6397.9595,5545.9595,5545.9595,7.509342136150234,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_20e_1gpu.yaml,resnet18_cifar100_bs128_20e_1gpu.yaml,1,FakeTensorMem,faketensor_mib,852.0,93.28115082,-758.71884918,758.71884918,0.1094849188028169,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_20e_1gpu.yaml,resnet18_cifar100_bs128_20e_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,852.0,8000.0,7148.0,7148.0,9.389671361502348,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs128_50e_1gpu.yaml,1,HorusMem,horus_mib,852.0,6397.9595,5545.9595,5545.9595,7.509342136150234,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs128_50e_1gpu.yaml,1,FakeTensorMem,faketensor_mib,852.0,93.28115082,-758.71884918,758.71884918,0.1094849188028169,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs128_50e_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,852.0,8000.0,7148.0,7148.0,9.389671361502348,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_20e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,1,HorusMem,horus_mib,790.0,2231.6129,1441.6129,1441.6129,2.824826455696203,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_20e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,1,FakeTensorMem,faketensor_mib,790.0,53.99452972,-736.00547028,736.00547028,0.06834750597468355,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_20e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,790.0,8000.0,7210.0,7210.0,10.126582278481013,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu.yaml,1,HorusMem,horus_mib,790.0,2231.6129,1441.6129,1441.6129,2.824826455696203,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu.yaml,1,FakeTensorMem,faketensor_mib,790.0,53.99452972,-736.00547028,736.00547028,0.06834750597468355,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,790.0,8000.0,7210.0,7210.0,10.126582278481013,False,False,True,True,True
